episode,mean_global_reward,steps,gate_fraction,scenario_id
456,-0.6999,180,0.269,
457,-0.8587,180,0.289,pm_peak
458,-0.9287,180,0.291,demand_surge
459,-0.9588,180,0.325,midday_multimodal
460,-0.6851,180,0.275,am_peak
461,-0.8184,180,0.296,pm_peak
462,-0.8028,180,0.275,
463,-0.7931,180,0.301,
464,-0.6883,180,0.29,
465,-1.0785,180,0.284,pm_peak
466,-0.9745,180,0.273,demand_surge
467,-0.9936,180,0.302,midday_multimodal
468,-0.6688,180,0.259,am_peak
469,-0.9107,180,0.272,pm_peak
470,-0.7574,180,0.285,
471,-1.0452,180,0.317,
472,-0.6733,180,0.273,
473,-0.8837,180,0.313,pm_peak
474,-0.8492,180,0.276,demand_surge
475,-0.8674,180,0.31,midday_multimodal
476,-0.6851,180,0.269,am_peak
477,-0.8016,180,0.276,pm_peak
478,-0.8313,180,0.291,
479,-0.8704,180,0.331,
480,-0.6599,180,0.273,
481,-0.9362,180,0.259,pm_peak
482,-0.969,180,0.268,demand_surge
483,-0.828,180,0.304,midday_multimodal
484,-0.7495,180,0.264,am_peak
485,-1.0214,180,0.286,pm_peak
486,-0.9102,180,0.292,
487,-0.9881,180,0.301,
488,-0.8469,180,0.267,
489,-1.0067,180,0.291,pm_peak
490,-0.8664,180,0.287,demand_surge
491,-0.817,180,0.307,midday_multimodal
492,-0.6889,180,0.274,am_peak
493,-0.8388,180,0.288,pm_peak
494,-0.7495,180,0.274,
495,-1.0391,180,0.314,
496,-0.7056,180,0.276,
497,-0.9648,180,0.309,pm_peak
498,-1.0026,180,0.269,demand_surge
499,-0.9249,180,0.3,midday_multimodal
500,-0.7395,180,0.268,am_peak
501,-0.8591,180,0.307,pm_peak
502,-0.9119,180,0.29,
503,-0.7933,180,0.305,
504,-0.6857,180,0.273,
505,-0.9897,180,0.329,pm_peak
506,-0.8361,180,0.314,demand_surge
507,-0.9008,180,0.344,midday_multimodal
508,-0.6285,180,0.304,am_peak
509,-0.8625,180,0.32,pm_peak
510,-0.7602,180,0.324,
511,-0.7651,180,0.331,
512,-0.663,180,0.294,
513,-0.9975,180,0.309,pm_peak
514,-0.9485,180,0.285,demand_surge
515,-0.9105,180,0.325,midday_multimodal
516,-0.753,180,0.294,am_peak
517,-0.9037,180,0.328,pm_peak
518,-0.9215,180,0.288,
519,-1.101,180,0.329,
520,-0.8277,180,0.287,
521,-0.8663,180,0.337,pm_peak
522,-0.752,180,0.309,demand_surge
523,-1.0978,180,0.347,midday_multimodal
524,-0.6608,180,0.299,am_peak
525,-0.8563,180,0.314,pm_peak
526,-1.108,180,0.332,
527,-0.9753,180,0.335,
528,-0.6328,180,0.295,
529,-0.9027,180,0.355,pm_peak
530,-0.9438,180,0.326,demand_surge
531,-1.0327,180,0.328,midday_multimodal
532,-1.0202,180,0.312,am_peak
533,-0.8083,180,0.35,pm_peak
534,-0.8104,180,0.311,
535,-0.8741,180,0.338,
536,-0.7017,180,0.316,
537,-1.0257,180,0.333,pm_peak
538,-0.9117,180,0.301,demand_surge
539,-0.9475,180,0.341,midday_multimodal
540,-0.7231,180,0.306,am_peak
541,-0.8235,180,0.318,pm_peak
542,-0.8227,180,0.313,
543,-0.8799,180,0.337,
544,-0.6569,180,0.298,
545,-0.9334,180,0.3,pm_peak
546,-0.8644,180,0.307,demand_surge
547,-0.8642,180,0.331,midday_multimodal
548,-0.6715,180,0.292,am_peak
549,-1.1602,180,0.295,pm_peak
550,-0.8186,180,0.291,
551,-1.0407,180,0.321,
552,-0.7293,180,0.294,
553,-0.8115,180,0.312,pm_peak
554,-0.9141,180,0.32,demand_surge
555,-0.8057,180,0.334,midday_multimodal
556,-0.6382,180,0.302,am_peak
557,-0.8526,180,0.339,pm_peak
558,-0.7694,180,0.311,
559,-0.8,180,0.337,
560,-0.6862,180,0.284,
561,-1.0505,180,0.306,pm_peak
562,-0.8477,180,0.303,demand_surge
563,-0.8131,180,0.333,midday_multimodal
564,-0.6506,180,0.291,am_peak
565,-0.8553,180,0.327,pm_peak
566,-0.7869,180,0.316,
567,-0.9278,180,0.331,
568,-0.6752,180,0.295,
569,-0.8324,180,0.336,pm_peak
570,-0.7838,180,0.314,demand_surge
571,-0.8713,180,0.332,midday_multimodal
572,-0.7314,180,0.318,am_peak
573,-0.9936,180,0.314,pm_peak
574,-0.8181,180,0.313,
575,-0.8455,180,0.327,
576,-0.8088,180,0.314,
577,-0.9926,180,0.328,pm_peak
578,-0.8308,180,0.297,demand_surge
579,-0.8463,180,0.309,midday_multimodal
